0,1,2,3,4,5
marketscreenercom,business wire,"deadline reminder: law offices of howard g smith reminds investors of looming deadline in the class action lawsuit against hawaiian electric industries, inc (he)","(marketscreenercom) law offices of howard g smith reminds investors of the upcoming october 23, 2023 deadline to file a lead plaintiff motion in the case filed on behalf of investors who purchased hawaiian electric industries, inc securities between febru…",2023-09-05T16:41:01Z,"law offices of howard g smith reminds investors of the upcoming october 23, 2023 deadline to file a lead plaintiff motion in the case filed on behalf of investors who purchased hawaiian electric ind… [+3419 chars]"
globenewswire,glancy prongay & murray llp,"glancy prongay & murray llp reminds investors of looming deadline in the class action lawsuit against hawaiian electric industries, inc (he)","los angeles, sept 29, 2023 (globe newswire) -- glancy prongay & murray llp (“gpm”) reminds investors of the upcoming october 23, 2023 deadline to file a lead plaintiff motion in the class action filed on behalf of investors who purchased or otherwise acquire…",2023-09-29T17:55:00Z,"los angeles, sept 29, 2023 (globe newswire) -- glancy prongay &amp; murray llp (gpm) reminds investors of the upcoming october 23, 2023 deadline to file a lead plaintiff motion in the class action f… [+3881 chars]"
the conversation africa,"deren pillay, researcher and advanced trainee in public health medicine, menzies institute for medical research, university of tasmania, bill dodd, knowledge broker, centre for safe air (nhmrc cre), and adjunct researcher, media school, university of tasmania, bin jalaludin, conjoint professor, school of population health, unsw sydney","3,200 deaths a year: 1 of many reasons air pollution in australia demands urgent national action","reducing air pollution is one of the best investments for australians health, the environment, the economy and social equity but achieving cleaner air requires a new approach from government",2023-09-07T04:24:00Z,"australia is holding its collective breath ahead of a bushfire season that may bring a return of the smoke linked to 400 deaths and 4,500 hospitalisations and emergency department visits during the 2… [+6087 chars]"
yahoo entertainment,insider monkey transcripts,planet labs pbc (nyse:pl) q2 2024 earnings call transcript,"planet labs pbc (nyse:pl) q2 2024 earnings call transcript september 7, 2023 planet labs pbc beats earnings expectations reported eps is $007, expectations",2023-09-08T13:35:54Z,"planet labs pbc (nyse:pl) q2 2024 earnings call transcript september 7, 2023 planet labs pbc beats earnings expectations reported eps is $007, expectations were $-015 operator: good afternoon … [+51400 chars]"
globenewswire,the law offices of vincent wong,"shareholder alert: the law offices of vincent wong remind hawaiian electric investors of a lead plaintiff deadline of october 23, 2023","new york, sept 14, 2023 (globe newswire) -- attention hawaiian electric industries, inc (""hawaiian electric"") (nyse: he) shareholders: the law",2023-09-14T16:49:00Z,"new york, sept 14, 2023 (globe newswire) -- attention hawaiian electric industries, inc (""hawaiian electric"") (nyse: he) shareholders: the law offices of vincent wong announce that a class action … [+1614 chars]"
investingcom,reuters,us appeals court questions delay in pg&e shareholder case,us appeals court questions delay in pg&e shareholder case,2023-09-13T19:11:10Z,"by jody godoy (reuters) - us appeals court judges questioned a 2-1/2-year pause in a shareholder lawsuit against pg&amp;e (nyse:pcg) corp officers and directors on wednesday, suggesting they could… [+1795 chars]"
globenewswire,the law offices of vincent wong,"shareholder alert: the law offices of vincent wong remind hawaiian electric investors of a lead plaintiff deadline of october 23, 2023","new york, sept 19, 2023 (globe newswire) -- attention hawaiian electric industries, inc (""hawaiian electric"") (nyse: he) shareholders: the law",2023-09-19T17:04:00Z,"new york, sept 19, 2023 (globe newswire) -- attention hawaiian electric industries, inc (""hawaiian electric"") (nyse: he) shareholders: the law offices of vincent wong announce that a class action … [+1614 chars]"
marketscreenercom,prnewswire,"the law offices of vincent wong remind hawaiian electric investors of a lead plaintiff deadline of october 23, 2023","(marketscreenercom) new york, sept 18, 2023 /prnewswire/ -- attention hawaiian electric industries, inc shareholders: the law offices of vincent wong announce that a class action lawsuit has commenced on behalf of investors who purchased between februar…",2023-09-18T09:46:19Z,"new york, sept 18, 2023 /prnewswire/ -- attention hawaiian electric industries, inc (""hawaiian electric"") (nyse: he) shareholders: the law offices of vincent wong announce that a class action laws… [+1866 chars]"
marketscreenercom,prnewswire,"the law offices of vincent wong remind hawaiian electric investors of a lead plaintiff deadline of october 23, 2023","(marketscreenercom) new york, sept 11, 2023 /prnewswire/ -- attention hawaiian electric industries, inc shareholders: the law offices of vincent wong announce that a class action lawsuit has commenced on behalf of investors who purchased between february…",2023-09-11T09:46:17Z,"new york, sept 11, 2023 /prnewswire/ -- attention hawaiian electric industries, inc (""hawaiian electric"") (nyse: he) shareholders: the law offices of vincent wong announce that a class action laws… [+1866 chars]"
globenewswire,the law offices of vincent wong,"shareholder alert: the law offices of vincent wong remind hawaiian electric investors of a lead plaintiff deadline of october 23, 2023","new york, sept 28, 2023 (globe newswire) -- attention hawaiian electric industries, inc (""hawaiian electric"") (nyse: he) shareholders: the law",2023-09-28T16:41:00Z,"new york, sept 28, 2023 (globe newswire) -- attention hawaiian electric industries, inc (""hawaiian electric"") (nyse: he) shareholders: the law offices of vincent wong announce that a class action … [+1614 chars]"
grist,the center for public integrity,"a warming planet is creating a booming, and dangerous, disaster-restoration industry","fueled by immigrant labor, the loosely regulated industry exposes workers to lethal toxins that are making them sick long after the cleanup",2023-09-30T13:00:00Z,"by janelle retka, samantha mccabe, jiahui huang and maría inés zamudio, columbia journalism investigations and the center for public integrity this article was produced in partnership with columbia … [+29336 chars]"
modern farmer,naoki nitta,"in fire-stricken maui, sustainable land management is key","surveying the aftermath of the kula upcountry fire—one of three devastating wildfires that raged across maui last month—brendan balthazar noticed a striking pattern emerge across his cattle ranch peppered throughout some 500 acres of charred pastureland, he …",2023-09-07T12:00:36Z,surveying the aftermath of the kula upcountry fireone of three devastating wildfires that raged across maui last monthbrendan balthazar noticed a striking pattern emerge across his cattle ranch pepp… [+10950 chars]
trendhuntercom,,global edge ai platforms - omdena is an edge ai platform that connects experts for collaboration (trendhuntercom),"(trendhuntercom) omdena is a global platform that connects ai engineers, data scientists, and domain experts to collaborate on real-world problems using edge ai omdena has successfully completed over 40 projects in",2023-09-20T11:53:02Z,"omdena is a global platform that connects ai engineers, data scientists, and domain experts to collaborate on real-world problems using edge ai omdena has successfully completed over 40 projects in … [+938 chars]"
the conversation africa,"mojtaba sadegh, associate professor of civil engineering, boise state university, john abatzoglou, professor of engineering, university of california, merced","wildfire risk is soaring for low-income, elderly and other vulnerable populations in california, washington and oregon","alarmingly, about half the people exposed to wildfires in washington and oregon were those least able to afford to protect their homes, evacuate safely and recover",2023-09-20T18:00:02Z,"many of the people caught in the wildfire that swept through paradise, calif, in 2018 were older adults justin sullivan/getty images as wildfires burn across the western us, the people in harms… [+5847 chars]"
national observer,"sushant, talha awan","in the fight to prevent extreme wildfires, nature can help",increasing investment in wildfire prevention strategies is crucial to minimize damages,2023-09-06T09:15:16Z,"canada is in the midst of its most devastating wildfire season ever with exponentially high costs to health, economy and nature, there is an urgent need to invest in wildfire prevention strategies i… [+7236 chars]"
globenewswire,pomerantz llp,"shareholder alert: pomerantz law firm reminds shareholders with losses on their investment in hawaiian electric industries, inc of class action lawsuit and upcoming deadline – he","new york, sept 01, 2023 (globe newswire) -- pomerantz llp announces that a class action lawsuit has been filed against hawaiian electric industries, inc (“hawaiian electric” or the “company”) (nyse: he) and certain officers the class action, filed in the…",2023-09-01T14:44:00Z,"new york, sept 01, 2023 (globe newswire) -- pomerantz llp announces that a class action lawsuit has been filed against hawaiian electric industries, inc (hawaiian electric or the company) (nyse: he… [+5383 chars]"
marketscreenercom,prnewswire,"hawaiian electric deadline alert: securities litigation partner james (josh) wilson encourages investors who suffered losses exceeding $100,000 in hawaiian electric to contact him directly to discuss their options","(marketscreenercom) new york, sept 2, 2023 /prnewswire/ -- faruqi & faruqi, llp, a leading national securities law firm, is investigating potential claims against hawaiian electric industries, inc and reminds investors of the october 23, 2023 deadline to…",2023-09-02T15:01:04Z,"new york, sept 2, 2023 /prnewswire/ -- faruqi &amp; faruqi, llp, a leading national securities law firm, is investigating potential claims against hawaiian electric industries, inc (""hawaiian elect… [+5445 chars]"
globenewswire,pomerantz llp,"shareholder alert: pomerantz law firm reminds shareholders with losses on their investment in hawaiian electric industries, inc of class action lawsuit and upcoming deadline – he","new york, sept 17, 2023 (globe newswire) -- pomerantz llp announces that a class action lawsuit has been filed against hawaiian electric industries, inc (“hawaiian electric” or the “company”) (nyse: he) and certain officers the class action, filed in the u…",2023-09-17T20:48:00Z,"new york, sept 17, 2023 (globe newswire) -- pomerantz llp announces that a class action lawsuit has been filed against hawaiian electric industries, inc (hawaiian electric or the company) (nyse: he… [+5384 chars]"
marketscreenercom,prnewswire,"hawaiian electric investor deadline approaching: securities litigation partner james (josh) wilson encourages investors who suffered losses exceeding $100,000 in hawaiian electric to contact him directly to discuss their options","(marketscreenercom) new york, sept 23, 2023 /prnewswire/ --faruqi & faruqi, llp, a leading national securities law firm, is investigating potential claims against hawaiian electric industries, inc and reminds investors of the october 23, 2023 deadline to…",2023-09-23T15:01:03Z,"new york, sept 23, 2023 /prnewswire/ --faruqi &amp; faruqi, llp, a leading national securities law firm, is investigating potential claims against hawaiian electric industries, inc (""hawaiian elect… [+5468 chars]"
marketscreenercom,prnewswire,"pomerantz law firm reminds shareholders with losses on their investment in hawaiian electric industries, inc of class action lawsuit and upcoming deadline - he","(marketscreenercom) new york, sept 21, 2023 /prnewswire/ -- pomerantz llp announces that a class action lawsuit has been filed against hawaiian electric industries, inc and certain officers the class action, filed in the united states district court for…",2023-09-21T17:34:04Z,"new york, sept 21, 2023 /prnewswire/ -- pomerantz llp announces that a class action lawsuit has been filed against hawaiian electric industries, inc (""hawaiian electric"" or the ""company"") (nyse: he… [+5683 chars]"
marketscreenercom,prnewswire,"hawaiian electric deadline alert: securities litigation partner james (josh) wilson encourages investors who suffered losses exceeding $100,000 in hawaiian electric to contact him directly to discuss their options","(marketscreenercom) new york, sept 16, 2023 /prnewswire/ -- faruqi & faruqi, llp, a leading national securities law firm, is investigating potential claims against hawaiian electric industries, inc and reminds investors of the october 23, 2023 deadline t…",2023-09-16T15:01:04Z,"new york, sept 16, 2023 /prnewswire/ -- faruqi &amp; faruqi, llp, a leading national securities law firm, is investigating potential claims against hawaiian electric industries, inc (""hawaiian elec… [+5454 chars]"
marketscreenercom,prnewswire,"hawaiian electric deadline alert: securities litigation partner james (josh) wilson encourages investors who suffered losses exceeding $100,000 in hawaiian electric to contact him directly to discuss their options","(marketscreenercom) new york, sept 9, 2023 /prnewswire/ -- faruqi & faruqi, llp, a leading national securities law firm, is investigating potential claims against hawaiian electric industries, inc and reminds investors of the october 23, 2023 deadline to…",2023-09-09T15:01:04Z,"new york, sept 9, 2023 /prnewswire/ -- faruqi &amp; faruqi, llp, a leading national securities law firm, is investigating potential claims against hawaiian electric industries, inc (""hawaiian elect… [+5445 chars]"
marketscreenercom,prnewswire,"pomerantz law firm reminds shareholders with losses on their investment in hawaiian electric industries, inc of class action lawsuit and upcoming deadline - he","(marketscreenercom) new york, sept 5, 2023 /prnewswire/ -- pomerantz llp announces that a class action lawsuit has been filed against hawaiian electric industries, inc and certain officers the class action, filed in the united states district court for …",2023-09-05T18:37:03Z,"new york, sept 5, 2023 /prnewswire/ -- pomerantz llp announces that a class action lawsuit has been filed against hawaiian electric industries, inc (""hawaiian electric"" or the ""company"") (nyse: he)… [+5682 chars]"
globenewswire,pomerantz llp,"shareholder alert: pomerantz law firm reminds shareholders with losses on their investment in hawaiian electric industries, inc of class action lawsuit and upcoming deadline – he","new york, sept 09, 2023 (globe newswire) -- pomerantz llp announces that a class action lawsuit has been filed against hawaiian electric industries, inc (“hawaiian electric” or the “company”) (nyse: he) and certain officers the class action, filed in the…",2023-09-09T16:31:00Z,"new york, sept 09, 2023 (globe newswire) -- pomerantz llp announces that a class action lawsuit has been filed against hawaiian electric industries, inc (hawaiian electric or the company) (nyse: he… [+5383 chars]"
globenewswire,pomerantz llp,"shareholder alert: pomerantz law firm reminds shareholders with losses on their investment in hawaiian electric industries, inc of class action lawsuit and upcoming deadline – he","new york, sept 25, 2023 (globe newswire) -- pomerantz llp announces that a class action lawsuit has been filed against hawaiian electric industries, inc (“hawaiian electric” or the “company”) (nyse: he) and certain officers the class action, filed in the u…",2023-09-25T20:55:00Z,"new york, sept 25, 2023 (globe newswire) -- pomerantz llp announces that a class action lawsuit has been filed against hawaiian electric industries, inc (hawaiian electric or the company) (nyse: he… [+5377 chars]"
marketscreenercom,prnewswire,"pomerantz law firm reminds shareholders with losses on their investment in hawaiian electric industries, inc of class action lawsuit and upcoming deadline - he","(marketscreenercom) new york, sept 29, 2023 /prnewswire/ -- pomerantz llp announces that a class action lawsuit has been filed against hawaiian electric industries, inc and certain officers the class action, filed in the united states district court for…",2023-09-29T17:29:04Z,"new york, sept 29, 2023 /prnewswire/ -- pomerantz llp announces that a class action lawsuit has been filed against hawaiian electric industries, inc (""hawaiian electric"" or the ""company"") (nyse: he… [+5683 chars]"
