0,1,2,3,4,5
counterpunch,mojtaba sadegh – john abatzoglou,"wildfire risk is soaring for low-income, elderly and other vulnerable populations in california, washington and oregon","as wildfires burn across the western us, the people in harms way are increasingly those least able to protect their homes from fire risks, evacuate safely or recover after a fire in a new study, we and a team of fellow wildfire scientists examined who liv…",2023-10-03T04:55:03Z,"firescape image: jsc and ai art generator as wildfires burn across the western us, the people in harms way are increasingly those least able to protect their homes from fire risks, evacuate safe… [+5345 chars]"
[removed],,[removed],[removed],1970-01-01T00:00:00Z,[removed]
globenewswire,rogers communications canada inc,rogers brings world leading wildfire detection and prevention technology to british columbia,introducing satellite-connected wildfire sensors with spacex technology connecting ai cameras to rogers 5g network for early wildfire detection in,2023-09-21T13:00:00Z,"introducing satellite-connected wildfire sensors with spacex technology connecting ai cameras to rogers 5g network for early wildfire detection in canadian first vancouver, british columbia, sept … [+4615 chars]"
marketscreenercom,globenewswire,rogers brings world leading wildfire detection and prevention technology to british columbia,"(marketscreenercom) introducing satellite-connected wildfire sensors with spacex technology connecting ai cameras to rogers 5g network for early wildfire detection in canadian first vancouver, british columbia, sept 21, 2023 -- rogers communications today a…",2023-09-21T13:02:02Z,"introducing satellite-connected wildfire sensors with spacex technology connecting ai cameras to rogers 5g network for early wildfire detection in canadian first vancouver, british columbia, sept … [+4615 chars]"
yahoo entertainment,reuters,maui fire lawsuit blames landowners for wild grass growth,"the father of a woman who died in the hawaii wildfires last month has launched a novel lawsuit against three major landowners, seeking to hold them",2023-09-20T10:04:11Z,"wilmington, delaware (reuters) - the father of a woman who died in the hawaii wildfires last month has launched a novel lawsuit against three major landowners, seeking to hold them responsible even t… [+5816 chars]"
cbc news,,bc has doubled its wildfire destruction record how can we prepare for the next big year?,"as the extreme weather of climate change makes destructive summers like this year's more and more likely, the provinces independent forests watchdog is calling for radical action to make our landscapes more resistant to fire",2023-10-07T11:00:25Z,it's official bc has now more than doubled the previous record for area burned during a single wildfire season as the extreme weather of climate change makes destructive summers like this year's… [+5828 chars]
planetizencom,diana ionescu,urban design for addressing climate resilience,"urban design for addressing climate resilience diana ionescu fri, 10/13/2023 - 07:00 primary image in an article for architecture daily, maria-cristina florian describes how cities around the world are responding to and preparing for three m…",2023-10-13T14:00:00Z,"in an article for architecture daily, maria-cristina florian describes how cities around the world are responding to and preparing for three major types of extreme climate events: flooding, wildfires… [+1400 chars]"
los angeles times,the times editorial board,editorial: california lets a minority squash local tax and bond measures that could change,"by requiring a supermajority to pass local tax measures, a fraction of naysayers veto what a majority, or more, of their fellow voters support that's undemocratic",2023-09-18T12:00:58Z,"california gives too much power to a minority of voters to block local taxes for parks, housing, transportation and other public investments in most elections, decisions are made by a simple majori… [+4044 chars]"
insurance journal,admin,many us cities vulnerable to low water pressure amid wildfire dangers,"hours before devastating fires scorched the historic town of lahaina on maui, kyle ellison labored to save his rental house in kula, a rural mountain town 24 miles away, from a different blaze as high winds whipped burning trees and …",2023-10-02T08:52:55Z,"hours before devastating fires scorched the historic town of lahaina on maui, kyle ellison labored to save his rental house in kula, a rural mountain town 24 miles away, from a different blaze as h… [+8167 chars]"
marketscreenercom,newsfilecorp,genesis collaborates with university of british columbia to develop ai for wildfire prevention,"(marketscreenercom) genesis ai corp is pleased to announce the hiring of several co-op students from the university of british columbia the 3rd year computer science co-ops have commenced working on projects for genesis ai, with more joining the winter s…",2023-10-05T07:10:01Z,"kelowna, british columbia--(newsfile corp - october 5, 2023) - genesis ai corp (cse: aig) (otcqb: aigff) (the ""company"") is pleased to announce the hiring of several co-op students from the univers… [+2693 chars]"
insurance journal,admin,"tech startups in us, france, germany help in fight against wildfires","this year has been a challenging one for phil schneider, who hasnt seen wildfire behavior like this in his 47-year firefighting career blazes raged through more than 2,000 acres of wildland in recent months in his county deep in the …",2023-09-25T13:27:59Z,"this year has been a challenging one for phil schneider, who hasnt seen wildfire behavior like this in his 47-year firefighting career blazes raged through more than 2,000 acres of wildland in rec… [+9287 chars]"
globenewswire,firesmart bc,firesmart bc launches new youth education program following the worst wildfire season in bcs history,"victoria, bc, sept 25, 2023 (globe newswire) -- this back-to-school season comes after the worst wildfire season in bcs history to help students and educators learn about wildfire prevention and awareness, firesmart bc has launched new teaching resources g…",2023-09-25T16:53:00Z,"victoria, bc, sept 25, 2023 (globe newswire) -- this back-to-school season comes after the worst wildfire season in bcs history to help students and educators learn about wildfire prevention and aw… [+3006 chars]"
international business times,katerina nikolopoulou,greek pm vows for a restart after criticism for natural disasters' handling,"faced with criticism for his alleged poor handling of the fires and floods that struck greece this summer, prime minister kyriakos mitsotakis pledged fresh funding and reforms in order to fight the ""climate war""",2023-09-17T12:15:39Z,"faced with criticism for his alleged poor handling of the fires and floods that struck greece this summer, prime minister kyriakos mitsotakis pledged fresh funding and reforms in order to fight the ""… [+3406 chars]"
yahoo entertainment,reuters,"factbox-us government shutdown: what closes, what stays open?","the two million us military personnel would remain at their posts, but roughly half of the pentagon's 800,000 civilian employees would be furloughed",2023-09-21T18:23:46Z,(reuters) - many us government services would be disrupted and hundreds of thousands of federal workers furloughed without pay if congress fails to provide funding for the fiscal year starting oct… [+6541 chars]
globenewswire,alcherax inc,"ax hosts korean delegation, strengthening global wildfire management & disaster response","sonoma county, calif, sept 21, 2023 (globe newswire) -- ax is pleased to announce that, in collaboration with sonoma county and the redcom center, the company has welcomed a delegation from south korea for the second time this year building upon south kore…",2023-09-21T21:00:00Z,"sonoma county, calif, sept 21, 2023 (globe newswire) -- ax is pleased to announce that, in collaboration with sonoma county and the redcom center, the company has welcomed a delegation from south k… [+4025 chars]"
globenewswire,associa,fire safety tips for homeowners associations and managed community leaders,"dallas, oct 05, 2023 (globe newswire) -- associa, the community management industrys largest company, is dedicated to helping homeowners associations (hoas) and managed communities create attractive and welcoming environments where residents can maximize th…",2023-10-05T13:13:00Z,"dallas, oct 05, 2023 (globe newswire) -- associa, the community management industrys largest company, is dedicated to helping homeowners associations (hoas) and managed communities create attractive… [+3556 chars]"
globenewswire,pano ai,pano ai and austin energy announce a first-of-its-kind partnership in texas to safeguard communities and utility infrastructure from wildfires,"austin, tx, oct 06, 2023 (globe newswire) -- austin energy has partnered with pano ai, the first company to offer a fully managed solution for active wildfire detection using artificial intelligence the collaboration marks the first deployment of an ai-driv…",2023-10-06T14:11:00Z,"austin, tx, oct 06, 2023 (globe newswire) -- austin energy has partnered with pano ai, the first company to offer a fully managed solution for active wildfire detection using artificial intelligence… [+4478 chars]"
prnewswire,,"hawaiian electric investor deadline approaching: securities litigation partner james (josh) wilson encourages investors who suffered losses exceeding $100,000 in hawaiian electric to contact him directly to discuss their options","new york, sept 23, 2023 /prnewswire/ --faruqi & faruqi, llp, a leading national securities law firm, is investigating potential claims against hawaiian electric industries, inc (""hawaiian electric"" or the ""company"") (nyse: he) and reminds investors of the o…",2023-09-23T15:00:00Z,"new york, sept 23, 2023 /prnewswire/ --faruqi &amp; faruqi, llp, a leading national securities law firm, is investigating potential claims against hawaiian electric industries, inc (""hawaiian elect… [+5140 chars]"
screen rant,joe deckelmeier,peter facinelli talks about directing on fire & collaborating with his cast,"on fire director and star peter facinelli discusses collaborating with co-director nick lyon, what drew him to the script, and the filming process",2023-09-22T19:22:22Z,"summary <ul><li> on fire is a family survival film that focuses on one family's journey through a wildfire crisis, highlighting their strength, faith, and love </li><li> the movie is based on real … [+12970 chars]"
investingcom,reuters,analysis-novel lahaina wildfire lawsuit asks 'when is wild grass inherently dangerous?',analysis-novel lahaina wildfire lawsuit asks 'when is wild grass inherently dangerous?',2023-09-20T10:17:13Z,"by tom hals wilmington, delaware (reuters) - the father of a woman who died in the hawaii wildfires last month has launched a novel lawsuit against three major landowners, seeking to hold them respo… [+5726 chars]"
globenewswire,alcherax inc,ax & mighty fire breaker join forces in a new era of wildfire risk reduction management,"los angeles, oct 10, 2023 (globe newswire) -- alcherax inc (ax) and mighty fire breaker (mfb) are joining forces and teaming up to create a new era of safety and security in wildfire risk reduction with true accreditation via their groundbreaking combined t…",2023-10-10T22:56:00Z,"los angeles, oct 10, 2023 (globe newswire) -- alcherax inc (ax) and mighty fire breaker (mfb) are joining forces and teaming up to create a new era of safety and security in wildfire risk reduction… [+9342 chars]"
marketscreenercom,prnewswire,wildfire safety and preparedness: the pg&e corporation foundation and california fire foundation announce wildfire safety grant funding,"(marketscreenercom) 49 grants totaling $730,000 awarded to local fire departments, fire agencies and community groups sacramento, calif, sept 21, 2023 /prnewswire/ -- the california fire foundation , with support from the pg&e corporation foundation , ha…",2023-09-21T17:01:05Z,"49 grants totaling $730,000 awarded to local fire departments, fire agencies and community groups sacramento, calif, sept 21, 2023 /prnewswire/ -- the california fire foundation (cff), with suppor… [+6617 chars]"
globenewswire,portnoy law,"hawaiian electric investors: please contact the portnoy law firm to recover your losses; october 23, 2023 deadline","investors can contact the law firm at no cost to learn more about recovering their losses​ los angeles, oct 02, 2023 (globe newswire) -- the",2023-10-02T21:41:00Z,"investors can contact the law firm at no cost to learn more about recovering their losses los angeles, oct 02, 2023 (globe newswire) -- the portnoy law firm advises hawaiian electric industries… [+1886 chars]"
investingcom,reuters,"california escapes fire season mostly unharmed, but danger could lie ahead","california escapes fire season mostly unharmed, but danger could lie ahead",2023-09-25T10:11:22Z,"by daniel trotta (reuters) - california is on the verge of recording a second straight year of relatively mild wildfire damage, after historic rains put the state on track to avoid the calamities of… [+2744 chars]"
marketscreenercom,reuters,"california escapes fire season mostly unharmed, but danger could lie ahead","(marketscreenercom) california is on the verge of recording a second straight year of relatively mild wildfire damage, after historic rains put the state on track to avoid the calamities of recent fire seasonshttps://wwwmarketscreenercom/news/latest/calif…",2023-09-25T10:06:03Z,"(reuters) - california is on the verge of recording a second straight year of relatively mild wildfire damage, after historic rains put the state on track to avoid the calamities of recent fire seaso… [+2805 chars]"
globenewswire,robbins llp,"he stock news: investors with significant losses in hawaiian electric industries, inc (he) should contact robbins llp for information about class action and lead plaintiff deadline","san diego, sept 18, 2023 (globe newswire) -- robbins llp reminds investors that a shareholder filed a class action on behalf of persons and entities that purchased or otherwise acquired hawaiian electric industries, inc (nyse: he) securities between februar…",2023-09-18T16:33:00Z,"san diego, sept 18, 2023 (globe newswire) -- robbins llp reminds investors that a shareholder filed a class action on behalf of persons and entities that purchased or otherwise acquired hawaiian ele… [+3869 chars]"
globenewswire,hagens berman sobol shapiro llp,"hagens berman, national trial attorneys, encourages hawaiian electric industries (he) equity and bond investors with substantial losses to contact firms attorneys, securities fraud class action pending","san francisco, oct 02, 2023 (globe newswire) -- hagens berman urges hawaiian electric industries, inc (nyse: he) equity and bond investors who suffered substantial losses to submit your losses now",2023-10-02T14:02:00Z,"san francisco, oct 02, 2023 (globe newswire) -- hagens berman urges hawaiian electric industries, inc (nyse: he) equity and bond investors who suffered substantial losses to submit your losses now… [+3473 chars]"
globenewswire,hagens berman sobol shapiro llp,"hagens berman, national trial attorneys, encourages hawaiian electric industries (he) equity and bond shareholders to contact the firm, deadline approaching in securities fraud class action lawsuit","san francisco, oct 12, 2023 (globe newswire) -- hagens berman urges hawaiian electric industries, inc (nyse: he) equity and bond investors who suffered substantial losses to submit your losses now ",2023-10-12T22:22:00Z,"san francisco, oct 12, 2023 (globe newswire) -- hagens berman urges hawaiian electric industries, inc (nyse: he) equity and bond investors who suffered substantial losses to submit your losses now … [+3660 chars]"
globenewswire,glancy prongay & murray llp,"glancy prongay & murray llp reminds investors of looming deadline in the class action lawsuit against hawaiian electric industries, inc (he)","los angeles, sept 21, 2023 (globe newswire) -- glancy prongay & murray llp (“gpm”) reminds investors of the upcoming october 23, 2023 deadline to file a lead plaintiff motion in the class action filed on behalf of investors who purchased or otherwise acquire…",2023-09-21T16:27:00Z,"los angeles, sept 21, 2023 (globe newswire) -- glancy prongay &amp; murray llp (gpm) reminds investors of the upcoming october 23, 2023 deadline to file a lead plaintiff motion in the class action f… [+3881 chars]"
globenewswire,glancy prongay & murray llp,"glancy prongay & murray llp reminds investors of looming deadline in the class action lawsuit against hawaiian electric industries, inc (he)","los angeles, oct 09, 2023 (globe newswire) -- glancy prongay & murray llp (“gpm”) reminds investors of the upcoming october 23, 2023 deadline to file a lead plaintiff motion in the class action filed on behalf of investors who purchased or otherwise acquired…",2023-10-09T16:03:00Z,"los angeles, oct 09, 2023 (globe newswire) -- glancy prongay &amp; murray llp (gpm) reminds investors of the upcoming october 23, 2023 deadline to file a lead plaintiff motion in the class action fi… [+3880 chars]"
globenewswire,hagens berman sobol shapiro llp,“hawaiian electric industries (he) could be on the hook for securities fraud after devastating wildfires” – hagens berman,firm encourages shareholders with significant losses to contact its attorneys firm encourages shareholders with significant losses to contact its attorneys,2023-10-16T13:08:00Z,"san francisco, oct 16, 2023 (globe newswire) -- hagens berman urges hawaiian electric industries, inc (nyse: he) equity and bond investors who suffered substantial losses to submit your losses now… [+3644 chars]"
globenewswire,glancy prongay & murray llp,"glancy prongay & murray llp reminds investors of looming deadline in the class action lawsuit against hawaiian electric industries, inc (he)","los angeles, sept 29, 2023 (globe newswire) -- glancy prongay & murray llp (“gpm”) reminds investors of the upcoming october 23, 2023 deadline to file a lead plaintiff motion in the class action filed on behalf of investors who purchased or otherwise acquire…",2023-09-29T17:55:00Z,"los angeles, sept 29, 2023 (globe newswire) -- glancy prongay &amp; murray llp (gpm) reminds investors of the upcoming october 23, 2023 deadline to file a lead plaintiff motion in the class action f… [+3881 chars]"
globenewswire,hagens berman sobol shapiro llp,hagens berman encourages hawaiian electric industries (he) equity and bond investors to contact the firm,"san francisco, oct 07, 2023 (globe newswire) -- hagens berman urges hawaiian electric industries, inc (nyse: he) equity and bond investors who suffered substantial losses to submit your losses now",2023-10-07T18:08:00Z,"san francisco, oct 07, 2023 (globe newswire) -- hagens berman urges hawaiian electric industries, inc (nyse: he) equity and bond investors who suffered substantial losses to submit your losses now… [+3644 chars]"
marketscreenercom,prnewswire,"the law offices of vincent wong remind hawaiian electric investors of a lead plaintiff deadline of october 23, 2023","(marketscreenercom) new york, oct 9, 2023 /prnewswire/ -- attention hawaiian electric industries, inc shareholders: the law offices of vincent wong announce that a class action lawsuit has commenced on behalf of investors who purchased between february …",2023-10-09T09:46:09Z,"new york, oct 9, 2023 /prnewswire/ -- attention hawaiian electric industries, inc (""hawaiian electric"") (nyse: he) shareholders: the law offices of vincent wong announce that a class action lawsui… [+1864 chars]"
marketscreenercom,prnewswire,"the law offices of vincent wong remind hawaiian electric investors of a lead plaintiff deadline of october 23, 2023","(marketscreenercom) new york, oct 2, 2023 /prnewswire/ -- attention hawaiian electric industries, inc shareholders: the law offices of vincent wong announce that a class action lawsuit has commenced on behalf of investors who purchased between february …",2023-10-02T09:46:15Z,"new york, oct 2, 2023 /prnewswire/ -- attention hawaiian electric industries, inc (""hawaiian electric"") (nyse: he) shareholders: the law offices of vincent wong announce that a class action lawsui… [+1864 chars]"
marketscreenercom,prnewswire,"the law offices of vincent wong remind hawaiian electric investors of a lead plaintiff deadline of october 23, 2023","(marketscreenercom) new york, sept 18, 2023 /prnewswire/ -- attention hawaiian electric industries, inc shareholders: the law offices of vincent wong announce that a class action lawsuit has commenced on behalf of investors who purchased between februar…",2023-09-18T09:46:19Z,"new york, sept 18, 2023 /prnewswire/ -- attention hawaiian electric industries, inc (""hawaiian electric"") (nyse: he) shareholders: the law offices of vincent wong announce that a class action laws… [+1866 chars]"
globenewswire,the law offices of vincent wong,"shareholder alert: the law offices of vincent wong remind hawaiian electric investors of a lead plaintiff deadline of october 23, 2023","new york, sept 19, 2023 (globe newswire) -- attention hawaiian electric industries, inc (""hawaiian electric"") (nyse: he) shareholders: the law",2023-09-19T17:04:00Z,"new york, sept 19, 2023 (globe newswire) -- attention hawaiian electric industries, inc (""hawaiian electric"") (nyse: he) shareholders: the law offices of vincent wong announce that a class action … [+1614 chars]"
globenewswire,the law offices of vincent wong,"shareholder alert: the law offices of vincent wong remind hawaiian electric investors of a lead plaintiff deadline of october 23, 2023","new york, sept 28, 2023 (globe newswire) -- attention hawaiian electric industries, inc (""hawaiian electric"") (nyse: he) shareholders: the law",2023-09-28T16:41:00Z,"new york, sept 28, 2023 (globe newswire) -- attention hawaiian electric industries, inc (""hawaiian electric"") (nyse: he) shareholders: the law offices of vincent wong announce that a class action … [+1614 chars]"
marketscreenercom,,"the law offices of vincent wong remind hawaiian electric investors of a lead plaintiff deadline of october 23, 2023","(marketscreenercom) new york, oct 16, 2023 /prnewswire/ -- attention hawaiian electric industries, inc shareholders: the law offices of vincent wong announce that a class action lawsuit has commenced on behalf of investors who purchased between february…",2023-10-16T09:46:12Z,"new york, oct 16, 2023 /prnewswire/ -- attention hawaiian electric industries, inc (""hawaiian electric"") (nyse: he) shareholders: the law offices of vincent wong announce that a class action lawsu… [+1865 chars]"
ndtv news,,how much time does a hacker take to crack passwords? paytm ceo answers,paytm founder and ceo vijay shekhar sharma posted about the importance of passwords and how long it takes a hacker to crack them,2023-10-15T04:22:11Z,new delhi: paytm founder and ceo vijay shekhar sharma posted about the importance of passwords and how long it takes a hacker to crack them mr sharma said that it is the length of the password th… [+2271 chars]
grist,the center for public integrity,"a warming planet is creating a booming, and dangerous, disaster-restoration industry","fueled by immigrant labor, the loosely regulated industry exposes workers to lethal toxins that are making them sick long after the cleanup",2023-09-30T13:00:00Z,"by janelle retka, samantha mccabe, jiahui huang and maría inés zamudio, columbia journalism investigations and the center for public integrity this article was produced in partnership with columbia … [+29336 chars]"
trendhuntercom,,global edge ai platforms - omdena is an edge ai platform that connects experts for collaboration (trendhuntercom),"(trendhuntercom) omdena is a global platform that connects ai engineers, data scientists, and domain experts to collaborate on real-world problems using edge ai omdena has successfully completed over 40 projects in",2023-09-20T11:53:02Z,"omdena is a global platform that connects ai engineers, data scientists, and domain experts to collaborate on real-world problems using edge ai omdena has successfully completed over 40 projects in … [+938 chars]"
the conversation africa,"mojtaba sadegh, associate professor of civil engineering, boise state university, john abatzoglou, professor of engineering, university of california, merced","wildfire risk is soaring for low-income, elderly and other vulnerable populations in california, washington and oregon","alarmingly, about half the people exposed to wildfires in washington and oregon were those least able to afford to protect their homes, evacuate safely and recover",2023-09-20T18:00:02Z,"many of the people caught in the wildfire that swept through paradise, calif, in 2018 were older adults justin sullivan/getty images as wildfires burn across the western us, the people in harms… [+5847 chars]"
marketscreenercom,prnewswire,"pomerantz law firm reminds shareholders with losses on their investment in hawaiian electric industries, inc of class action lawsuit and upcoming deadline - he","(marketscreenercom) new york, sept 21, 2023 /prnewswire/ -- pomerantz llp announces that a class action lawsuit has been filed against hawaiian electric industries, inc and certain officers the class action, filed in the united states district court for…",2023-09-21T17:34:04Z,"new york, sept 21, 2023 /prnewswire/ -- pomerantz llp announces that a class action lawsuit has been filed against hawaiian electric industries, inc (""hawaiian electric"" or the ""company"") (nyse: he… [+5683 chars]"
globenewswire,pomerantz llp,"shareholder alert: pomerantz law firm reminds shareholders with losses on their investment in hawaiian electric industries, inc of class action lawsuit and upcoming deadline – he","new york, oct 03, 2023 (globe newswire) -- pomerantz llp announces that a class action lawsuit has been filed against hawaiian electric industries, inc (“hawaiian electric” or the “company”) (nyse: he) and certain officers the class action, filed in the …",2023-10-03T15:07:00Z,"new york, oct 03, 2023 (globe newswire) -- pomerantz llp announces that a class action lawsuit has been filed against hawaiian electric industries, inc (hawaiian electric or the company) (nyse: he)… [+5384 chars]"
globenewswire,pomerantz llp,"shareholder alert: pomerantz law firm reminds shareholders with losses on their investment in hawaiian electric industries, inc of class action lawsuit and upcoming deadline – he","new york, oct 11, 2023 (globe newswire) -- pomerantz llp announces that a class action lawsuit has been filed against hawaiian electric industries, inc (“hawaiian electric” or the “company”) (nyse: he) and certain officers the class action, filed in the un…",2023-10-11T15:22:00Z,"new york, oct 11, 2023 (globe newswire) -- pomerantz llp announces that a class action lawsuit has been filed against hawaiian electric industries, inc (hawaiian electric or the company) (nyse: he)… [+5376 chars]"
marketscreenercom,,hawaiian electric ongoing investor deadline alert: securities litigation partner james (josh) wilson encourages investors who suffered losses in hawaiian electric to contact him directly to discuss their options,"(marketscreenercom) if you purchased or acquired securities investing in hawaiian electric stock or options between february 28, 2019 and august 16, 2023 and would like to discuss your legal rights, call faruqi & faruqi partner josh wilson directly at 877-…",2023-10-11T15:01:08Z,"if you purchased or acquired securities investing in hawaiian electric stock or options between february 28, 2019 and august 16, 2023and would like to discuss your legal rights, call faruqi &amp; far… [+5449 chars]"
globenewswire,pomerantz llp,"shareholder alert: pomerantz law firm reminds shareholders with losses on their investment in hawaiian electric industries, inc of class action lawsuit and upcoming deadline – he","new york, sept 17, 2023 (globe newswire) -- pomerantz llp announces that a class action lawsuit has been filed against hawaiian electric industries, inc (“hawaiian electric” or the “company”) (nyse: he) and certain officers the class action, filed in the u…",2023-09-17T20:48:00Z,"new york, sept 17, 2023 (globe newswire) -- pomerantz llp announces that a class action lawsuit has been filed against hawaiian electric industries, inc (hawaiian electric or the company) (nyse: he… [+5384 chars]"
marketscreenercom,prnewswire,"hawaiian electric investor deadline approaching: securities litigation partner james (josh) wilson encourages investors who suffered losses exceeding $100,000 in hawaiian electric to contact him directly to discuss their options","(marketscreenercom) new york, sept 23, 2023 /prnewswire/ --faruqi & faruqi, llp, a leading national securities law firm, is investigating potential claims against hawaiian electric industries, inc and reminds investors of the october 23, 2023 deadline to…",2023-09-23T15:01:03Z,"new york, sept 23, 2023 /prnewswire/ --faruqi &amp; faruqi, llp, a leading national securities law firm, is investigating potential claims against hawaiian electric industries, inc (""hawaiian elect… [+5468 chars]"
marketscreenercom,,"pomerantz law firm reminds shareholders with losses on their investment in hawaiian electric industries, inc of class action lawsuit and upcoming deadline - he","(marketscreenercom) new york, oct 9, 2023 /prnewswire/ -- pomerantz llp announces that a class action lawsuit has been filed against hawaiian electric industries, inc and certain officers the class action, filed in the united states district court for…",2023-10-09T17:36:03Z,"new york, oct 9, 2023 /prnewswire/ -- pomerantz llp announces that a class action lawsuit has been filed against hawaiian electric industries, inc (""hawaiian electric"" or the ""company"") (nyse: he) … [+5695 chars]"
marketscreenercom,prnewswire,hawaiian electric securities litigation partner james (josh) wilson encourages investors who suffered losses in hawaiian electric to contact him directly to discuss their options,"(marketscreenercom) if you purchased or acquired securities investing in hawaiian electric stock or options between february 28, 2019 and august 16, 2023 and would like to discuss your legal rights, call faruqi & faruqi partner josh wilson directly at 877-…",2023-10-06T15:01:05Z,"if you purchased or acquired securities investing in hawaiian electric stock or options between february 28, 2019 and august 16, 2023and would like to discuss your legal rights, call faruqi &amp; far… [+5431 chars]"
